id_kampus,id_jurusan
1,1
2,1
5,1
1,2
1,3
1,4
1,5
2,5
5,5
6,5
7,5
10,5
1,6
4,6
5,6
6,6
7,6
8,6
10,6
1,7
1,8
4,8
1,9
7,9
1,10
1,11
1,12
1,13
2,13
4,13
5,13
6,13
7,13
1,14
2,14
5,14
6,14
7,14
8,14
9,14
10,14
1,15
1,16
1,17
5,17
9,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
5,26
6,26
1,27
1,28
1,29
1,30
1,31
1,32
7,32
1,33
1,34
2,35
2,36
2,37
6,37
2,38
2,39
6,39
2,40
2,41
2,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
4,50
4,51
4,52
4,53
5,54
5,55
6,56
7,57
8,58
8,59
8,60
9,61
9,62
9,63
9,64
10,65
